State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Telangana,2014,1,LSP,119,19448279,6919928,39,0,39,0.0,0,0.55,1.55,35,LOK SATTA PARTY
Telangana,2014,1,MASP,119,19448279,2065674,13,0,13,0.0,0,0.32,3.05,36,
Telangana,2014,1,MBT,119,19448279,796687,6,0,5,0.0,0,0.28,6.91,37,
Telangana,2014,1,MCPI,119,19448279,1667514,10,0,10,0.0,0,0.03,0.31,38,
Telangana,2014,1,MMS,119,19448279,136603,1,0,1,0.0,0,0,0.23,39,
Telangana,2014,1,MMSP,119,19448279,583518,4,0,4,0.0,0,0.01,0.19,40,
Telangana,2014,1,MTP,119,19448279,196759,1,0,1,0.0,0,0,0.14,41,
Telangana,2014,1,NBNP,119,19448279,585245,4,0,4,0.0,0,0,0.13,42,
Telangana,2014,1,NCP,119,19448279,938331,5,0,5,0.0,0,0.01,0.29,43,
Telangana,2014,1,NIP,119,19448279,127721,1,0,1,0.0,0,0,0.32,44,
Telangana,2014,1,NOTA,119,19448279,19448279,119,0,0,0.0,0,0.78,0.78,45,
Telangana,2014,1,PJDL,119,19448279,806239,4,0,4,0.0,0,0.01,0.29,46,
Telangana,2014,1,PPOI,119,19448279,7950157,47,0,47,0.0,0,0.2,0.5,47,
Telangana,2014,1,PRBP,119,19448279,287033,2,0,2,0.0,0,0.01,0.76,48,
Telangana,2014,1,RDHP,119,19448279,158046,1,0,1,0.0,0,0,0.43,49,
Telangana,2014,1,RJD,119,19448279,663118,3,0,3,0.0,0,0,0.06,50,
Telangana,2014,1,RLD,119,19448279,3036644,19,0,19,0.0,0,0.06,0.36,51,
Telangana,2014,1,RP(K),119,19448279,265359,2,0,2,0.0,0,0.03,2.39,52,
Telangana,2014,1,RPI,119,19448279,143865,1,0,1,0.0,0,0,0.15,53,
Telangana,2014,1,RPI(A),119,19448279,1392758,9,0,9,0.0,0,0.08,1.1,54,
Telangana,2014,1,RSP,119,19448279,379103,2,0,2,0.0,0,0,0.13,55,
Telangana,2014,1,RSPI,119,19448279,150884,1,0,1,0.0,0,0,0.09,56,
Telangana,2014,1,SHS,119,19448279,863718,6,0,6,0.0,0,0.01,0.28,57,
Telangana,2014,1,SP,119,19448279,447127,3,0,3,0.0,0,0,0.2,58,
Telangana,2014,1,SP(I),119,19448279,145824,1,0,1,0.0,0,0,0.25,59,
Telangana,2014,1,SPS,119,19448279,376104,2,0,2,0.0,0,0.06,3.25,60,
Telangana,2014,1,SRS,119,19448279,124843,1,0,1,0.0,0,0,0.09,61,
Telangana,2014,1,SUCI,119,19448279,143865,1,0,1,0.0,0,0,0.22,62,
Telangana,2014,1,TDP,119,19448279,11954754,72,15,26,20.833333333333332,12.61,14.55,23.67,3,TELUGU DESAM
Telangana,2014,1,TECPI,119,19448279,451382,3,0,3,0.0,0,0.05,1.95,63,
Telangana,2014,1,TLP,119,19448279,962006,6,0,6,0.0,0,0.01,0.18,64,
Telangana,2014,1,TMOR,119,19448279,323660,2,0,2,0.0,0,0,0.29,65,
Telangana,2014,1,TPS,119,19448279,1098017,7,0,7,0.0,0,0.02,0.42,66,
Telangana,2014,1,TRS,119,19448279,19448279,119,63,22,52.94117647058823,52.94,34.04,34.04,1,TELANGANA RASHTRA SAMITHI
Telangana,2014,1,VOP,119,19448279,157445,1,0,1,0.0,0,0,0.19,67,
Telangana,2014,1,WPOI,119,19448279,2139520,13,0,13,0.0,0,0.05,0.46,68,
Telangana,2014,1,YSRCP,119,19448279,14962192,92,3,87,3.260869565217391,2.52,3.36,4.37,6,
Telangana,2014,1,YTP,119,19448279,159166,1,0,0,0.0,0,0.2,24.67,69,
