State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,76,HARUR,73.9,48.09,SC,77563,4,1,Male,INC,27565,N. THEERTHAGIRI,0.96,N. ARUMUGAM,DMK,M,nan,INC,S. ANGAMUTHU NAICKER,8.81,6.24,-5.26,
Madras,4,1967,2,77,DHARMAPURI,76.18,53.02,General,89778,5,1,Male,DMK,36258,M. S. GOUNTER,9.78,D. N. VADIVEL,INC,M,nan,INC,A. DORAISWAMY,6.18,15.52,-0.52,DMK
Madras,4,1967,2,78,PALACODE,65.6,50.05,General,88883,5,1,Male,INC,29186,K. MURUGESAN,5.3,M. B. MUNUSAMY,DMK,M,nan,DMK,N. P. SENGOTTUVEL,0.84,-3.76,5.17,INC
Madras,4,1967,2,79,PENNAGARAM,62.36,49.2,General,90966,3,1,Male,INC,27913,P. K. C. MUTHUSAMY,2.37,N. MANICKAM,DMK,M,nan,DMK,V. R. PERIANNAN,-4.19,-3.67,-4.41,INC
Madras,4,1967,2,80,METTUR,70.14,48.78,General,89534,4,1,Male,PSP,30635,M. SURENDRAN,9.61,K. K. GOUNDER,INC,M,nan,INC,S. CHINNAYAN,0.3,4.62,6.31,PSP
Madras,4,1967,2,81,TARAMANGALAM,65.15,57.8,General,88234,2,1,Male,DMK,33222,GOVINDAN,15.59,M. S. KRISHNAN,INC,M,nan,DMK,V. VELAPPA GOUNDAR,-6.02,-3.95,-12.05,
Madras,4,1967,2,82,OMALUR,59.69,56.17,SC,83866,4,1,Male,DMK,28121,C. PALANI,20.46,C. GOVINDAN,INC,M,nan,DMK,R. NALLAMUTHU,-0.13,15.41,1.89,
Madras,4,1967,2,83,SALEM I,81.26,57.92,General,99374,4,1,Male,DMK,46776,K. JAYARAMAN,17.42,P. THIAGARAJAN,INC,M,nan,INC,T. M. KALIYANNAN,9.28,27.15,10.33,DMK
Madras,4,1967,2,84,SALEM I I,76.33,58,General,87598,3,1,Male,DMK,38781,E. R. KRISHNAN,17.19,A. R. GOUNDER,INC,M,nan,INC,K. S. SUBRAMANIA GOUNDER,9.62,13.06,0.88,DMK
Madras,4,1967,2,85,YERCAUD,59.31,56.25,ST,75302,2,1,Male,DMK,25124,V. CHINNASAMY,12.51,PONNUDURAI,INC,M,nan,INC,N.S. SUNDARARAJAN,3.6,-10.62,7.21,DMK
Madras,4,1967,2,86,PANAMARATHUPATTI,75.61,53.7,General,85216,4,1,Male,DMK,34597,T. PONNUMALAI,11.99,C. SEPPERUMAL,DMK,M,nan,INC,S. ARDHANARESWARA GOUNDER,19.66,6.05,11.15,DMK
Madras,4,1967,2,87,VEERAPANDY,71.13,66.11,General,90758,2,1,Male,DMK,42681,S. ARUMUGAM,32.23,N. S. SUNDARARAJAN,INC,M,nan,INC,N. K. RANGANAYAKI,17.01,5.93,17.5,DMK
Madras,4,1967,2,88,EDAPPADI,69.12,54.7,General,97701,2,1,Male,DMK,36935,A. ARUMUGAM,9.39,K. S. S. GOUNDER,INC,M,nan,INC,PERUMALRAJU,-1.31,23.74,-16.83,DMK
Madras,4,1967,2,89,SANKARI,51.61,61.7,SC,94558,4,1,Male,DMK,30112,R. NALLAMUTHU,26.51,A. RAJENDRAN,INC,M,nan,INC,MUTHUVELAPPA GOUNDER,12.56,-20,3.87,DMK
Madras,4,1967,2,90,TIRUCHENGODE,66.22,64.73,General,99100,3,1,Male,DMK,42479,T. A. RAJAVELU,31.01,T. P. NATESAN,INC,M,nan,INC,A. K. KALIAPPA GOUNDAR,9.07,0.76,7.94,DMK
Madras,4,1967,2,91,KAPILAMALAI,75.73,52.25,General,103680,5,1,Male,DMK,41026,C. V. VELAPPAN,10.56,R. S. GOUNDER,INC,M,nan,INC,N. NALLASENAAPATHI SARKERAI MANRADIAR,-6.16,-4.47,-7.56,DMK
Madras,4,1967,2,92,NAMAKKAL,79.51,54.37,General,91404,4,1,Male,DMK,39510,M. MUTHUSWAMY,10.81,V. R. K. GOUNDER,INC,M,nan,INC,A. S. DHAKSHINAMOORTHY GOUNDER,14.76,6.54,1.78,DMK
Madras,4,1967,2,93,SENDAMANGALAM,63.4,50.62,ST,97553,2,1,Male,INC,31308,A. S. GOUNDER,1.25,S. T. DORAISWAMY,CPM,M,nan,SOC,K. R. NALLASIVAM,-0.2,-14.8,-10.82,INC
Madras,4,1967,2,94,RASIPURAM,75.41,52.53,General,96950,6,1,Male,DMK,38402,P. PERIASAMY,10.3,K. M. GOUNDER,INC,M,nan,INC,NATARAJA GOUNDER K. S.,-9.03,4.28,-14.16,DMK
Madras,4,1967,2,95,ATTUR,74.15,57.22,General,95362,2,1,Male,DMK,40456,K.N. SIVAPERUMAL,14.43,M. P. SUBRAMANYAM,INC,M,nan,INC,PARAVATHI ARJUMAN,-0.23,8.69,-15.6,DMK
